Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-22zpe10-1,22зпэ10,"М20х1,5",7-ШС12.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",30,РЗ-ЦХ-15,1,DO
C-22zpe10-2,22зпэ10,"М20х1,5",7-ШС12.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",30,РЗ-ЦХ-20,1,DI
C-HLA1,HLA1,"М20х1,5",JBZ001,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",5,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-SB1,SB1,"М20х1,5",JBZ001,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",5,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DI
C-HLA2,HLA2,"М20х1,5",JBZ001,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",5,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-SB2,SB2,"М20х1,5",JBZ001,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",5,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DI
С-JBZ001,JBZ001,"М25х1,5",7-ПАЗ.1,-,"Кабель контрольный, КГВВнг(А)-LS 14х1,5",140,"РЗ-ЦХ-25
 Ц-25х3,2","2
 3",DI/DO
C-HLA3,HLA3,"М20х1,5",JBZ002,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",2,РЗ-ЦХ-15,2,DO
C-SB3,SB3,"М20х1,5",JBZ002,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",2,РЗ-ЦХ-15,2,DI
С-JBZ002,JBZ002,"М25х1,5",7-ПАЗ.1,-,"Кабель контрольный, КГВВнг(А)-LS 7х1,5",100,"РЗ-ЦХ-25
 Ц-25х3,2","2
 2",DI/DO
C-HLA4,HLA4,"М20х1,5",JBZ003,"М20х1,5","Кабель контрольный, КГВВнг(А)-LS 4х1,5",2,РЗ-ЦХ-15,2,DO
