Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
C-3JB006-3,HS3zpe3/2 (N),3JB006,XT1,7,Да,Да,7-ШС3.1,XT1,83,Да,Да,
,HSC3zpe3/2 (L),3JB006,XT1,8,Да,Да,7-ШС3.1,XT1,82,Да,Да,
,HSO3zpe3/2 (L),3JB006,XT1,9,Да,Да,7-ШС3.1,XT1,81,Да,Да,
,3zpe3/2-PE,3JB006,XT1,PE,Да,Да,7-ШС3.1,XT1,84,Да,Да,
C-3JB006-4,HS3zpe4/2 (N),3JB006,XT1,10,Да,Да,7-ШС3.1,XT1,91,Да,Да,
,HSC3zpe4/2 (L),3JB006,XT1,11,Да,Да,7-ШС3.1,XT1,90,Да,Да,
,HSO3zpe4/2 (L),3JB006,XT1,12,Да,Да,7-ШС3.1,XT1,89,Да,Да,
,3zpe4/2-PE,3JB006,XT1,PE,Да,Да,7-ШС3.1,XT1,92,Да,Да,
C-3JB006-5,HS3kshe5/2 (N),3JB006,XT1,13,Да,Да,7-ШС3.1,XT1,99,Да,Да,
,HSC3kshe5/2 (L),3JB006,XT1,14,Да,Да,7-ШС3.1,XT1,98,Да,Да,
,HSO3kshe5/2 (L),3JB006,XT1,15,Да,Да,7-ШС3.1,XT1,97,Да,Да,
,3kshe5/2-PE,3JB006,XT1,PE,Да,Да,7-ШС3.1,XT1,100,Да,Да,
C-3JB006-6,ZS3kshe1/2-1,3JB006,XT2,1,Да,Да,7-ШС3.1,XT1,69,Да,Да,
,ZSO3kshe1/2,3JB006,XT2,2,Да,Да,7-ШС3.1,XT1,70,Да,Да,
,ZS3kshe1/2-2,3JB006,XT2,3,Да,Да,7-ШС3.1,XT1,72,Да,Да,
,ZSC3kshe1/2,3JB006,XT2,4,Да,Да,7-ШС3.1,XT1,71,Да,Да,
,ZS3kshe2/2-1,3JB006,XT2,5,Да,Да,7-ШС3.1,XT1,77,Да,Да,
,ZSO3kshe2/2,3JB006,XT2,6,Да,Да,7-ШС3.1,XT1,78,Да,Да,
,ZS3kshe2/2-2,3JB006,XT2,7,Да,Да,7-ШС3.1,XT1,80,Да,Да,
,ZSC3kshe2/2,3JB006,XT2,8,Да,Да,7-ШС3.1,XT1,79,Да,Да,
,ZS3zpe3/2-1,3JB006,XT2,9,Да,Да,7-ШС3.1,XT1,85,Да,Да,
,ZSO3zpe3/2,3JB006,XT2,10,Да,Да,7-ШС3.1,XT1,86,Да,Да,
,ZS3zpe3/2-2,3JB006,XT2,11,Да,Да,7-ШС3.1,XT1,88,Да,Да,
,ZSC3zpe3/2,3JB006,XT2,12,Да,Да,7-ШС3.1,XT1,87,Да,Да,
,ZS3zpe4/2-1,3JB006,XT2,13,Да,Да,7-ШС3.1,XT1,93,Да,Да,
,ZSO3zpe4/2,3JB006,XT2,14,Да,Да,7-ШС3.1,XT1,94,Да,Да,
,ZS3zpe4/2-2,3JB006,XT2,15,Да,Да,7-ШС3.1,XT1,96,Да,Да,
,ZSC3zpe4/2,3JB006,XT2,16,Да,Да,7-ШС3.1,XT1,95,Да,Да,
,ZS3kshe5/2-1,3JB006,XT2,17,Да,Да,7-ШС3.1,XT1,101,Да,Да,
,ZSO3kshe5/2,3JB006,XT2,18,Да,Да,7-ШС3.1,XT1,102,Да,Да,
,ZS3kshe5/2-2,3JB006,XT2,19,Да,Да,7-ШС3.1,XT1,104,Да,Да,
,ZSC3kshe5/2,3JB006,XT2,20,Да,Да,7-ШС3.1,XT1,103,Да,Да,
,Экран,3JB006,XT,экран,Да,Да,7-ШС3.1,XT2,24,Да,Да,
C-3JB007-1,HS3kshe1/3 (N),3JB007,XT1,1,Да,Да,7-ШС3.1,XT1,107,Да,Да,
,HSC3kshe1/3 (L),3JB007,XT1,2,Да,Да,7-ШС3.1,XT1,106,Да,Да,
,HSO3kshe1/3 (L),3JB007,XT1,3,Да,Да,7-ШС3.1,XT1,105,Да,Да,
,3kshe1/3-PE,3JB007,XT1,PE,Да,Да,7-ШС3.1,XT1,108,Да,Да,
C-3JB007-2,HS3kshe2/3 (N),3JB007,XT1,4,Да,Да,7-ШС3.1,XT1,115,Да,Да,
,HSC3kshe2/3 (L),3JB007,XT1,5,Да,Да,7-ШС3.1,XT1,114,Да,Да,
