AI(PAZ),AI,DI,DI (PAZ),VALVE,,PUMP,Нет сигнала,,,Исправить,,Диагностика. Нет сигналов
Objects.AI.LZT_12L20_double,Objects.AI.LT_6L1,Objects.DI.leak_19L17_alarm,,Objects.VALVE.V_3zpe18,,Objects.PUMP.N27_1_pump,,,AX1,PT-2P38,AI,
Objects.AI.QZT_12Q21_double,Objects.AI.LT_6L3_min,Objects.DI.leak_19L13_alarm,,Objects.VALVE.V_3zpe11,,Objects.PUMP.ND1_3_pump,,,AX1,PT-2P36,AI,
Objects.AI.QZT_12Q22_double,Objects.AI.TT_6T1,Objects.DI.leak_19L15_alarm,,Objects.VALVE.V_3zpe19,,Objects.PUMP.ND1_4_pump,,,AX1,PT-2P15,AI,
Objects.AI.QZT_12Q23_double,Objects.AI.TT_6T2,Objects.DI.leak_19L14_alarm,,Objects.VALVE.V_5kshe1,,Objects.PUMP.ND2_3_pump,,,AX1,2зпv1,DI/DO,
Objects.AI.QZT_12Q20_double,Objects.AI.QT_6Q1,Objects.DI.leak_19L16_alarm,,Objects.VALVE.V_5kshe2,,Objects.PUMP.ND2_4_pump,,,AX1,2зпv3,DI/DO,
Objects.AI.QZT_13Q21_double,Objects.AI.QT_6Q2_electrical_conductivity,Objects.DI.bat_8SHS19_1_low,,Objects.VALVE.V_5kshe3,,Objects.PUMP.ND3_4_pump,,,AX1,2кшэ7,DI/DO,
Objects.AI.LZS_13L7_double,Objects.AI.QT_6Q3_electrical_conductivity,Objects.DI.bat_8SHS19_1_status,,Objects.VALVE.V_5kshe4,,Objects.PUMP.ND3_5_pump,,,AX1,2кшэ8,DI/DO,
Objects.AI.LZS_13L9_double,Objects.AI.PT_6P4,Objects.DI.bat_7SHS20_1_low,,Objects.VALVE.V_5kshe5,,Objects.PUMP.ND3_6_pump,,,AX1,2кшv4,DI/DO,
Objects.AI.LZS_13L6_double,Objects.AI.PT_6P6,Objects.DI.bat_7SHS20_1_status,,Objects.VALVE.V_5kshe100,,Objects.PUMP.N10_2_pump,,,AX1,2кшv5,DI/DO,
Objects.AI.LZT_13L21_double,Objects.AI.PT_6P10,Objects.DI.bat_7SHS21_1_status,,Objects.VALVE.V_5kshe101,,Objects.PUMP.NM2_2_pump,,,AX1,2кшv6,DI/DO,
Objects.AI.LZS_13L23_double,Objects.AI.PT_6P11,Objects.DI.bat_7SHS21_1_low,,Objects.VALVE.V_5kshe102,,Objects.PUMP.EM2_2_motor,,,AX1,2кшv8,DI/DO,
Objects.AI.PZT_13P23_double,Objects.AI.PT_6P12,Objects.DI.bat_7SHS22_1_status,,Objects.VALVE.V_5zpe4,,Objects.PUMP.N11_4_pump,,,AX1,2зпv4,DI/DO,
Objects.AI.PZT_13P20_double,Objects.AI.LT_7L3_min,Objects.DI.bat_7SHS22_1_low,,Objects.VALVE.V_5zpe5,,Objects.PUMP.NM3_2_pump,,,AX1,2зпv5,DI/DO,
Objects.AI.LZT_14L6_double,Objects.AI.PT_7P14,Objects.DI.bat_7SHS23_1_low,,Objects.VALVE.V_5zpe6,,Objects.PUMP.N12_3_pump,,,AX1,2зпv6,DI/DO,
Objects.AI.PZS_14P11_double,Objects.AI.PT_7P15,Objects.DI.bat_7SHS23_1_status,,Objects.VALVE.V_5zpe7,,Objects.PUMP.N12_4_pump,,,AX1,2кшv7,DI/DO,
Objects.AI.PZS_14P12_double,Objects.AI.TT_7T2,Objects.DI.LS_23L12_min,,Objects.VALVE.V_15kshe22,,Objects.PUMP.NM4_2_pump,,,AX1,2зпv7,DI/DO,
Objects.AI.PZS_14P18_double,Objects.AI.LT_7L1,Objects.DI.LS_23L13_min,,Objects.VALVE.V_15kshe23,,Objects.PUMP.N13_2_pump,,,AX1,2зпv9,DI/DO,
Objects.AI.LZT_14L7_double,Objects.AI.TT_7T1,Objects.DI.bat_7SHS25_1_status,,Objects.VALVE.V_15kshe24,,Objects.PUMP.EM4_2_motor,,,AX1,2зпv10,DI/DO,
Objects.AI.LZT_14L8_double,Objects.AI.PT_7P17,Objects.DI.bat_7SHS25_1_low,,Objects.VALVE.V_15zpe4,,Objects.PUMP.ND17_2_pump,,,Узел обезвоживания осадка (2 модуль),,,
Objects.AI.LZT_14L9_double,Objects.AI.PT_7P6,Objects.DI.bat_7SHS24_1_low,,Objects.VALVE.V_15zpe1,,Objects.PUMP.ND18_2_pump,,,AX1.2,LS-13L9.1,DI,
Objects.AI.PZT_15P15_double,Objects.AI.PT_7P10,Objects.DI.bat_7SHS24_1_status,,Objects.VALVE.V_15zpe6,,Objects.PUMP.ND19_2_pump,,,AX1.2,LS-13L9.2,DI,
Objects.AI.PZT_15P16_double,Objects.AI.LT_7L5,Objects.DI.bat_7SHS12_1_status,,Objects.VALVE.V_15kshe5,,Objects.PUMP.NEFD2_pump,,,AX1.2,FT-13F12,AI,
Objects.AI.QZT_15Q3_double,Objects.AI.QT_7Q1_electrical_conductivity,Objects.DI.bat_7SHS12_1_low,,Objects.VALVE.V_15kshe6,,Objects.PUMP.N15_3_pump,,,AX1.2,13кшv3,DI/DO,
Objects.AI.QZT_20Q3_double,Objects.AI.FT_7F1,Objects.DI.LVL_12P11_leak,,Objects.VALVE.V_15zpe2,,Objects.PUMP.N15_4_pump,,,AX1.2,13кшv11,DI/DO,
Objects.AI.PZT_20P16_double,Objects.AI.QT_7Q2_electrical_conductivity,Objects.DI.LVL_12P18_leak,,Objects.VALVE.V_15kshe4,,Objects.PUMP.N16_3_pump,,,AX1.2,PT-13P8,AI,
Objects.AI.PZT_20P17_double,Objects.AI.FT_7F2,Objects.DI.LVL_12L19_leak,,Objects.VALVE.V_15kshe1,,Objects.PUMP.N16_4_pump,,,AX1.2,PT-13P6,AI,
Objects.AI.PZT_17P20_double,Objects.AI.LT_8L1,Objects.DI.LS_25L4,,Objects.VALVE.V_15kshe8,,Objects.PUMP.C2_1_motor,,,AX1.2,PT-13P15,AI,
Objects.AI.PZT_17P21_double,Objects.AI.LT_8L2,Objects.DI.LS_12L12,,Objects.VALVE.V_4zpe1,,Objects.PUMP.C2_2_motor,,,AX1.2,13зпv1,DI/DO,
Objects.AI.QZT_17Q21_double,Objects.AI.LT_8L3,Objects.DI.LS_12L13,,Objects.VALVE.V_4zpe2,,Objects.PUMP.V2_1_motor,,,AX1.2,13зпv3,DI/DO,
