,,,,,
,,,,,
2: Category 2,TZT_5T12_1_QUALITY,3x-79,3,КАНАЛ TZT_5T12_1 - Перегрузка,255:0:0
1: Category 1,TZT_5T12_1_QUALITY,3x-79,7,КАНАЛ TZT_5T12_1 - Подмена,255:215:0
0: Category 0,TZT_5T12_1_QUALITY,3x-79,9,КАНАЛ TZT_5T12_1 - ОК,
0: Category 0,TZT_5T12_2_SIGN,3x-85,0,TZT_5T12_2 Неопределено,
2: Category 2,TZT_5T12_2_SIGN,3x-85,1,TZT_5T12_2 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T12_2_SIGN,3x-85,2,TZT_5T12_2 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T12_2_SIGN,3x-85,3,TZT_5T12_2 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T12_2_SIGN,3x-85,4,TZT_5T12_2 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T12_2_SIGN,3x-85,5,TZT_5T12_2 В диапазоне уставок,
0: Category 0,TZT_5T12_2_QUALITY,3x-84,0,КАНАЛ TZT_5T12_2 - Неопред.,
2: Category 2,TZT_5T12_2_QUALITY,3x-84,1,КАНАЛ TZT_5T12_2 - Ошибка,255:0:0
2: Category 2,TZT_5T12_2_QUALITY,3x-84,2,КАНАЛ TZT_5T12_2 - Обрыв,255:0:0
2: Category 2,TZT_5T12_2_QUALITY,3x-84,3,КАНАЛ TZT_5T12_2 - Перегрузка,255:0:0
1: Category 1,TZT_5T12_2_QUALITY,3x-84,7,КАНАЛ TZT_5T12_2 - Подмена,255:215:0
0: Category 0,TZT_5T12_2_QUALITY,3x-84,9,КАНАЛ TZT_5T12_2 - ОК,
0: Category 0,PZT_5P14_1_SIGN,3x-90,0,PZT_5P14_1 Неопределено,
2: Category 2,PZT_5P14_1_SIGN,3x-90,1,PZT_5P14_1 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P14_1_SIGN,3x-90,2,PZT_5P14_1 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P14_1_SIGN,3x-90,3,PZT_5P14_1 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P14_1_SIGN,3x-90,4,PZT_5P14_1 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P14_1_SIGN,3x-90,5,PZT_5P14_1 В диапазоне уставок,
0: Category 0,PZT_5P14_1_QUALITY,3x-89,0,КАНАЛ PZT_5P14_1 - Неопред.,
2: Category 2,PZT_5P14_1_QUALITY,3x-89,1,КАНАЛ PZT_5P14_1 - Ошибка,255:0:0
2: Category 2,PZT_5P14_1_QUALITY,3x-89,2,КАНАЛ PZT_5P14_1 - Обрыв,255:0:0
2: Category 2,PZT_5P14_1_QUALITY,3x-89,3,КАНАЛ PZT_5P14_1 - Перегрузка,255:0:0
1: Category 1,PZT_5P14_1_QUALITY,3x-89,7,КАНАЛ PZT_5P14_1 - Подмена,255:215:0
0: Category 0,PZT_5P14_1_QUALITY,3x-89,9,КАНАЛ PZT_5P14_1 - ОК,
0: Category 0,PZT_5P14_2_SIGN,3x-95,0,PZT_5P14_2 Неопределено,
2: Category 2,PZT_5P14_2_SIGN,3x-95,1,PZT_5P14_2 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P14_2_SIGN,3x-95,2,PZT_5P14_2 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P14_2_SIGN,3x-95,3,PZT_5P14_2 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P14_2_SIGN,3x-95,4,PZT_5P14_2 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P14_2_SIGN,3x-95,5,PZT_5P14_2 В диапазоне уставок,
0: Category 0,PZT_5P14_2_QUALITY,3x-94,0,КАНАЛ PZT_5P14_2 - Неопред.,
2: Category 2,PZT_5P14_2_QUALITY,3x-94,1,КАНАЛ PZT_5P14_2 - Ошибка,255:0:0
2: Category 2,PZT_5P14_2_QUALITY,3x-94,2,КАНАЛ PZT_5P14_2 - Обрыв,255:0:0
